Player,SO,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
Gerrit Cole\colege01,326,212.1,2019,28,HOU,AL,33,33,0,0,0,20,5,0.8,0,142,66,59,48,2.5,2.64,39.90%,5.90%,185,0.276,29,817,762,30,1,0,3,1,3,7,11,5,0,3,4,0.186,0.237,0.343,0.579,49,3362,2254
Justin Verlander\verlaju01,300,223,2019,36,HOU,AL,34,34,2,1,0,21,6,0.778,0,137,66,64,42,2.58,3.27,35.40%,5.00%,179,0.219,36,847,796,28,7,0,6,0,2,7,9,3,0,0,4,0.172,0.219,0.361,0.579,48,3448,2361
Shane Bieber\biebesh01,259,214.1,2019,24,CLE,AL,34,33,3,2,1,15,8,0.652,0,186,86,78,40,3.28,3.32,30.20%,4.70%,144,0.298,31,859,810,37,1,1,6,2,1,13,7,4,2,1,6,0.23,0.271,0.393,0.663,70,3332,2208
Jacob deGrom\degroja01,255,204,2019,31,NYM,NL,32,32,0,0,0,11,8,0.579,0,154,59,55,44,2.43,2.67,31.70%,5.50%,167,0.285,19,804,745,28,1,1,7,5,3,10,24,4,0,0,2,0.207,0.257,0.323,0.58,60,3297,2222
Trevor Bauer\bauertr01,253,213,2019,28,TOT,ML,34,34,1,1,0,11,13,0.458,0,184,118,106,82,4.48,4.34,27.80%,9.00%,104,0.29,34,911,800,43,7,0,19,5,5,9,14,4,0,0,10,0.23,0.315,0.429,0.743,92,3687,2318
Stephen Strasburg\strasst01,251,209,2019,30,WSN,NL,33,33,0,0,0,18,6,0.75,0,161,79,77,56,3.32,3.25,29.90%,6.70%,138,0.276,24,841,768,25,5,4,10,3,4,14,16,2,0,0,8,0.21,0.271,0.349,0.62,61,3384,2211
Lance Lynn\lynnla01,246,208.1,2019,32,TEX,AL,33,33,0,0,0,16,11,0.593,0,195,89,85,59,3.67,3.13,28.10%,6.70%,141,0.322,21,875,801,42,6,0,8,1,6,12,8,3,0,0,18,0.243,0.3,0.39,0.689,74,3553,2278
Max Scherzer\scherma01,243,172.1,2019,34,WSN,NL,27,27,0,0,0,11,7,0.611,0,144,59,56,33,2.92,2.45,35.10%,4.80%,157,0.322,18,693,650,43,0,2,7,0,2,7,8,1,0,0,0,0.222,0.266,0.371,0.637,64,2770,1912
Charlie Morton\mortoch02,240,194.2,2019,35,TBR,AL,33,33,0,0,0,16,6,0.727,0,154,71,66,57,3.05,2.81,30.40%,7.20%,146,0.299,15,790,717,33,6,0,12,1,3,13,3,3,1,1,5,0.215,0.283,0.34,0.623,67,3139,2074
Matthew Boyd\boydma01,238,185.1,2019,28,DET,AL,32,32,0,0,0,9,12,0.429,0,178,101,94,50,4.56,4.32,30.20%,6.40%,105,0.31,39,788,721,36,2,1,8,4,4,9,4,5,5,4,6,0.247,0.301,0.465,0.766,97,3118,2059
Patrick Corbin\corbipa01,238,202,2019,29,WSN,NL,33,33,1,1,0,14,7,0.667,0,169,81,73,70,3.25,3.49,28.50%,8.40%,141,0.295,24,835,746,37,1,2,3,8,8,14,11,6,4,0,4,0.227,0.293,0.375,0.668,73,3299,2058
Robbie Ray\rayro02,235,174.1,2019,27,ARI,NL,33,33,0,0,0,12,8,0.6,0,150,91,84,84,4.34,4.29,31.50%,11.20%,103,0.315,30,747,642,33,5,5,5,11,4,13,10,3,1,0,7,0.234,0.325,0.441,0.766,101,3062,1919
Jack Flaherty\flaheja01,231,196.1,2019,23,STL,NL,33,33,0,0,0,11,8,0.579,0,135,62,60,55,2.75,3.46,29.90%,7.10%,155,0.244,25,772,704,24,1,2,7,3,3,14,1,3,1,0,6,0.192,0.256,0.335,0.591,58,3179,2049
Yu Darvish\darviyu01,229,178.2,2019,32,CHC,NL,31,31,0,0,0,6,8,0.429,0,140,82,79,56,3.98,4.18,31.30%,7.70%,112,0.268,33,731,657,23,4,1,11,3,4,11,24,2,0,0,11,0.213,0.284,0.411,0.695,82,2848,1879
Aaron Nola\nolaaa01,229,202.1,2019,26,PHI,NL,34,34,0,0,0,12,7,0.632,0,176,91,87,80,3.87,4.03,26.90%,9.40%,116,0.297,27,852,755,34,3,3,11,4,2,14,7,8,2,0,3,0.233,0.315,0.393,0.708,87,3332,2169
Lucas Giolito\giolilu01,228,176.2,2019,24,CHW,AL,29,29,3,2,0,14,9,0.609,0,131,69,67,57,3.41,3.43,32.30%,8.10%,134,0.274,24,705,640,28,4,1,4,1,3,13,3,3,0,0,6,0.205,0.273,0.373,0.646,72,2810,1858
Luis Castillo\castilu02,226,190.2,2019,26,CIN,NL,32,32,0,0,0,15,8,0.652,0,139,76,72,79,3.4,3.7,28.90%,10.10%,133,0.265,22,781,688,29,1,0,7,6,1,17,8,2,1,3,5,0.202,0.29,0.343,0.633,67,3162,1944
Chris Sale\salech01,218,147.1,2019,30,BOS,AL,25,25,1,1,0,6,11,0.353,0,123,80,72,37,4.4,3.39,35.60%,6.10%,109,0.311,24,612,556,30,2,0,13,2,4,7,8,2,0,0,2,0.221,0.284,0.412,0.695,78,2466,1642
Walker Buehler\buehlwa01,215,182.1,2019,24,LAD,NL,30,30,2,0,0,14,4,0.778,0,153,77,66,37,3.26,3.01,29.20%,5.00%,127,0.292,20,737,685,29,5,0,7,2,6,8,8,1,1,0,4,0.223,0.268,0.368,0.636,71,2838,1939
Eduardo Rodriguez\rodried05,213,203.1,2019,26,BOS,AL,34,34,0,0,0,19,6,0.76,0,195,88,86,75,3.81,3.86,24.80%,8.70%,126,0.318,24,859,770,30,2,2,7,2,5,20,4,5,1,0,3,0.253,0.323,0.391,0.714,85,3495,2188
Sonny Gray\grayso01,205,175.1,2019,29,CIN,NL,31,31,0,0,0,11,8,0.579,0,122,59,56,68,2.87,3.42,29.00%,9.60%,158,0.259,17,708,622,21,4,1,7,6,5,13,14,5,0,1,7,0.196,0.281,0.325,0.605,60,2909,1775
Madison Bumgarner\bumgama01,203,207.2,2019,29,SFG,NL,34,34,0,0,0,9,9,0.5,0,191,99,90,43,3.9,3.9,24.10%,5.10%,107,0.292,30,844,780,41,5,3,10,5,5,18,14,3,2,0,3,0.245,0.291,0.426,0.717,93,3244,2173
Noah Syndergaard\syndeno01,202,197.2,2019,26,NYM,NL,32,32,1,1,0,10,8,0.556,0,194,101,94,50,4.28,3.6,24.50%,6.10%,95,0.315,24,825,758,37,4,2,6,3,8,14,42,3,2,0,4,0.256,0.304,0.41,0.714,96,3098,2094
Mike Minor\minormi01,200,208.1,2019,31,TEX,AL,32,32,2,1,0,14,10,0.583,0,190,86,83,68,3.59,4.25,23.20%,7.90%,144,0.288,30,863,779,28,0,1,7,3,6,22,13,4,3,0,2,0.244,0.308,0.395,0.704,77,3358,2172
Jose Berrios\berrijo01,195,200.1,2019,25,MIN,AL,32,32,1,0,0,14,8,0.636,0,194,94,82,51,3.68,3.85,23.20%,6.10%,124,0.301,26,842,774,35,3,0,9,2,6,13,12,1,3,1,8,0.251,0.302,0.404,0.707,86,3132,2113
Zack Wheeler\wheelza01,195,195.1,2019,29,NYM,NL,31,31,0,0,0,11,8,0.579,0,196,93,86,50,3.96,3.48,23.60%,6.00%,102,0.316,22,828,760,33,1,4,2,8,7,13,6,1,0,0,5,0.258,0.303,0.391,0.694,90,3159,2120
Clayton Kershaw\kershcl01,189,178.1,2019,31,LAD,NL,29,28,0,0,0,16,5,0.762,0,145,63,60,41,3.03,3.86,26.80%,5.80%,137,0.267,28,706,654,23,3,0,2,6,1,17,3,3,2,1,7,0.222,0.269,0.394,0.664,77,2672,1794
Zack Greinke\greinza01,187,208.2,2019,35,TOT,ML,33,33,0,0,0,18,5,0.783,0,175,73,68,30,2.93,3.22,23.10%,3.70%,154,0.274,21,810,767,37,2,2,4,5,4,22,2,4,2,1,2,0.228,0.26,0.364,0.623,63,3109,2030
James Paxton\paxtoja01,186,150.2,2019,30,NYY,AL,29,29,0,0,0,15,6,0.714,0,138,71,64,55,3.82,3.86,29.40%,8.70%,116,0.315,23,633,570,30,2,0,2,2,4,9,7,4,1,1,7,0.242,0.309,0.423,0.732,93,2665,1717
